"avg_yr_sal","skills"
"208172","pyspark"
"189155","bitbucket"
"160515","watson"
"160515","couchbase"
"155486","datarobot"
"154500","gitlab"
"153750","swift"
"152777","jupyter"
"151821","pandas"
"145000","elasticsearch"
"145000","golang"
"143513","numpy"
"141907","databricks"
"136508","linux"
"132500","kubernetes"
"131162","atlassian"
"127000","twilio"
"126103","airflow"
"125781","scikit-learn"
"125436","jenkins"
"125000","notion"
"124903","scala"
"123879","postgresql"
"122500","gcp"
"121619","microstrategy"
"120100","crystal"
"115320","go"
"114210","confluence"
"114072","db2"
"113193","hadoop"
"112948","snowflake"
"112000","git"
"111500","ibm cloud"
"110862","azure"
"108857","bigquery"
"108200","shell"
"108020","aws"
"107667","unix"
"106906","java"
"106683","ssis"
"104918","jira"
"104500","dax"
"103689","looker"
"102943","oracle"
"101414","nosql"
"101397","python"
"100499","r"
"99936","redshift"
"99631","qlik"
"99289","tableau"
